Step,8-dim,16-dim,32-dim,64-dim,128-dim,256-dim,512-dim
0,509,506,508,508,508,508,508.0
1,507,510,510,502,507,508,507.0
2,507,509,510,503,509,508,506.0
3,509,508,509,509,509,508,507.0
4,504,507,505,508,509,508,509.0
5,508,504,506,510,506,509,506.0
8,509,507,509,506,507,507,506.0
9,509,506,509,507,507,508,504.0
10,508,508,506,508,508,507,508.0
11,510,505,510,505,506,508,504.0
12,504,509,505,506,506,505,507.0
13,506,505,510,507,509,508,505.0
16,507,508,508,502,510,510,505.0
17,505,509,506,506,509,506,506.0
18,507,507,509,505,505,509,504.0
19,509,509,508,508,509,507,507.0
20,509,508,507,506,509,505,510.0
21,511,511,506,505,506,506,510.0
24,506,504,504,509,506,506,508.0
25,508,507,509,508,508,511,505.0
26,510,505,511,510,506,509,502.0
27,510,508,506,508,509,507,506.0
28,504,504,506,507,507,508,511.0
29,511,508,506,507,506,504,509.0
32,505,509,507,510,509,505,510.0
33,504,506,508,507,507,504,506.0
34,507,508,505,509,511,504,506.0
35,509,510,507,505,510,505,510.0
36,510,505,506,506,510,508,509.0
37,505,507,510,509,507,510,502.0
40,507,508,510,510,512,505,508.0
41,507,505,508,508,504,506,507.0
42,509,502,508,510,505,507,507.0
43,509,509,507,507,506,508,507.0
44,508,509,506,510,509,506,508.0
45,509,507,512,511,510,507,506.0
46,507,506,509,505,508,503,506.0
49,509,507,510,507,509,507,505.0
50,505,505,498,506,508,508,507.0
51,509,503,508,501,509,504,509.0
52,509,509,507,506,508,506,507.0
53,505,507,509,506,509,508,508.0
54,510,509,505,507,506,500,510.0
57,507,508,506,509,506,508,508.0
58,507,506,508,507,506,507,505.0
59,510,508,507,505,510,509,510.0
60,511,508,506,509,505,503,508.0
61,506,509,511,503,508,505,505.0
62,508,508,504,511,502,509,508.0
65,511,507,507,504,508,507,508.0
66,505,509,508,503,504,510,509.0
67,506,506,507,505,510,506,506.0
68,507,503,508,507,509,507,510.0
69,508,505,506,508,508,502,509.0
70,506,501,506,505,507,509,510.0
73,508,510,510,509,506,509,507.0
74,510,508,504,503,507,507,505.0
75,508,508,508,504,510,507,509.0
76,510,508,511,507,507,511,508.0
77,505,510,507,511,504,504,508.0
78,505,504,507,510,505,507,507.0
81,505,508,508,505,506,509,505.0
82,506,511,508,510,507,511,506.0
83,511,508,509,508,508,505,508.0
84,506,507,506,502,505,505,505.0
85,508,510,502,510,506,509,508.0
86,507,507,509,508,503,507,508.0
89,508,511,498,507,506,507,509.0
90,507,510,510,508,509,510,507.0
91,503,506,506,510,503,510,507.0
92,506,504,506,507,509,502,506.0
93,506,506,505,505,510,506,506.0
94,504,508,509,505,503,504,506.0
95,509,506,507,506,508,508,508.0
98,504,508,507,504,509,507,507.0
99,508,506,507,507,508,507,508.0
100,504,509,509,509,506,509,512.0
101,505,505,508,507,506,509,502.0
102,507,508,507,508,506,507,506.0
103,508,508,506,509,508,505,505.0
106,509,504,508,510,508,503,506.0
107,504,502,505,506,505,507,508.0
108,509,508,509,509,509,510,504.0
109,509,506,507,508,507,506,507.0
110,505,505,512,508,504,510,510.0
111,502,502,510,506,506,507,507.0
114,509,509,509,507,508,507,511.0
115,509,506,507,504,506,507,505.0
116,510,508,510,508,511,507,507.0
117,508,510,503,508,507,507,512.0
118,509,509,509,506,502,507,508.0
119,508,508,508,505,504,504,510.0
122,503,508,497,509,507,507,508.0
123,509,505,505,510,506,507,506.0
124,509,510,510,509,508,508,507.0
125,507,505,510,508,510,505,506.0
126,505,508,509,500,509,506,504.0
127,506,509,505,507,505,512,508.0
130,507,509,509,509,507,505,507.0
131,507,506,509,508,509,509,510.0
132,507,508,510,511,509,509,508.0
133,508,507,509,510,505,511,505.0
134,509,506,510,507,509,506,506.0
135,507,507,508,508,511,506,508.0
136,511,506,509,508,501,506,503.0
139,508,502,505,508,503,507,512.0
140,507,506,507,505,508,503,506.0
141,507,508,507,506,507,509,509.0
142,505,510,507,510,507,509,511.0
143,507,508,507,509,511,508,511.0
144,509,508,509,507,508,508,505.0
147,507,508,506,510,507,506,509.0
148,508,504,509,508,507,507,509.0
149,505,507,508,507,509,509,507.0
150,507,508,511,507,508,506,506.0
151,504,508,508,506,504,506,505.0
152,509,509,506,502,508,504,509.0
155,505,510,509,508,509,510,508.0
156,507,506,507,502,507,504,508.0
157,506,508,510,511,502,508,508.0
158,506,507,510,507,507,508,508.0
159,506,505,503,506,507,504,507.0
160,507,502,504,505,508,509,511.0
163,506,508,508,510,508,504,507.0
164,506,509,507,508,508,508,506.0
165,503,512,506,507,508,509,509.0
166,511,506,506,508,507,511,503.0
167,509,505,510,506,508,508,509.0
168,505,506,506,508,506,507,506.0
171,506,504,508,507,508,510,510.0
172,510,506,504,508,505,510,501.0
173,508,509,506,506,510,507,507.0
174,504,506,504,508,506,507,508.0
175,508,510,507,511,509,507,508.0
176,507,505,510,504,505,506,508.0
179,509,510,504,506,509,505,508.0
180,510,509,508,508,509,509,507.0
181,502,506,503,506,508,510,511.0
182,505,504,509,509,506,505,509.0
183,508,510,508,506,508,504,509.0
184,508,504,508,504,504,503,507.0
185,509,510,509,507,506,508,502.0
188,507,510,506,507,512,504,508.0
189,507,509,504,508,510,506,504.0
190,509,507,509,503,504,510,507.0
191,507,507,505,505,506,510,506.0
192,506,507,508,507,506,508,506.0
193,506,507,508,510,508,509,497.0
196,507,507,509,510,507,505,506.0
197,505,507,506,509,506,511,509.0
198,507,502,506,509,503,506,511.0
199,511,509,509,509,503,510,507.0
200,505,506,511,509,508,508,509.0
201,505,508,510,506,506,503,510.0
204,510,506,506,508,503,508,509.0
205,511,507,503,507,508,508,502.0
206,504,510,505,509,505,505,508.0
207,506,508,504,507,507,508,509.0
208,509,508,512,508,503,506,508.0
