Step,8-dim,16-dim,32-dim,64-dim,128-dim,256-dim,512-dim
0,5.461759567260742,5.534320831298828,5.275321006774902,5.428699016571045,5.204239845275879,4.99653434753418,5.069865703582764
1,4.8816423416137695,5.0793609619140625,4.951699256896973,4.867588996887207,4.936581134796143,4.7640180587768555,4.694177150726318
2,4.8042073249816895,4.911911964416504,4.798137187957764,4.8720808029174805,4.612500190734863,4.690794944763184,4.626289367675781
3,4.667196273803711,4.8434977531433105,4.672554016113281,4.612125396728516,4.640529632568359,4.762221336364746,4.442022800445557
4,4.559323310852051,4.550594806671143,4.4489898681640625,4.610203742980957,4.50591516494751,4.5494279861450195,4.443592071533203
5,4.646653652191162,4.426694869995117,4.452666759490967,4.40345573425293,4.527034759521484,4.4283037185668945,4.509067535400391
8,4.416069030761719,4.444679260253906,4.3516130447387695,4.410792827606201,4.345715522766113,4.44041109085083,4.252385139465332
9,4.41471004486084,4.3981523513793945,4.409263610839844,4.398015022277832,4.28838586807251,4.166293621063232,4.21843147277832
10,4.3539018630981445,4.233401775360107,4.336446285247803,4.416174411773682,4.235404014587402,4.238604545593262,4.250499248504639
11,4.417935371398926,4.396224021911621,4.334676742553711,4.288376808166504,4.1992058753967285,4.264084339141846,4.010562896728516
12,4.315498352050781,4.212831497192383,4.176828384399414,4.16081428527832,4.113899230957031,4.203883647918701,4.067333698272705
13,4.177370071411133,4.224998950958252,4.133591651916504,4.223718643188477,4.113275527954102,4.148157119750977,4.061615943908691
16,4.360933303833008,4.196907997131348,4.091364860534668,4.145435333251953,4.252385139465332,4.309617519378662,4.0587568283081055
17,4.251070022583008,4.076174259185791,4.063491344451904,4.260845184326172,4.012186050415039,4.024491786956787,3.911415100097656
18,4.091078758239746,4.073362350463867,4.093692779541016,4.068439483642578,4.128719329833984,3.880910873413086,3.924679756164551
19,4.124338150024414,4.048402309417725,4.004593849182129,4.085439205169678,4.2075676918029785,3.794037342071533,3.95128870010376
20,4.175525188446045,3.9555678367614746,3.982656478881836,3.9944024085998535,3.902296543121338,3.8578755855560303,3.843616485595703
21,4.090229034423828,3.9732913970947266,3.775947570800781,3.937354564666748,3.8644168376922607,3.748324394226074,3.851384162902832
24,4.130191802978516,4.031164646148682,3.9905853271484375,3.7921767234802246,3.812078475952149,3.708822250366211,3.815587759017944
25,4.206259727478027,3.941046714782715,3.815953254699707,3.948289394378662,4.044017791748047,3.8059163093566895,3.653718948364258
26,4.00237512588501,3.945952892303467,3.877527713775635,3.904407262802124,3.853159904479981,3.771030902862549,3.80472183227539
27,3.9527645111083984,3.79373836517334,3.8124465942382817,3.80395245552063,3.6653261184692383,3.720362663269043,3.818697929382324
28,4.127011299133301,3.79225754737854,4.015630722045898,3.826383590698242,3.7616803646087646,3.848328113555908,3.777762889862061
29,4.042178153991699,3.777986049652099,3.9653844833374023,3.810262680053711,3.756314277648926,3.7602553367614746,3.652320146560669
32,3.934225559234619,3.82558536529541,3.680042266845703,3.911337375640869,3.744668245315552,3.7218716144561768,3.5163612365722656
33,3.9299278259277344,3.9341073036193848,3.612283945083618,3.643721580505371,3.665956258773804,3.64324402809143,3.503342628479004
34,3.8885130882263184,3.807919502258301,3.777850389480591,3.66190505027771,3.672492504119873,3.5445046424865723,3.5818886756896973
35,4.0317816734313965,3.826959133148194,3.788717746734619,3.718308687210083,3.794285774230957,3.7299509048461914,3.6690351963043217
36,3.812853336334229,3.8907413482666016,3.823806047439575,3.649455547332764,3.5561351776123047,3.5714378356933594,3.5650312900543213
37,3.904856204986572,3.7555418014526367,3.77411437034607,3.62955379486084,3.733922004699707,3.791264533996582,3.561784267425537
40,3.83472204208374,3.742921829223633,3.7281360626220703,3.6112780570983887,3.7639822959899902,3.6322367191314697,3.5326762199401855
41,3.8361055850982666,3.7817749977111816,3.6349282264709473,3.8016982078552246,3.669909000396729,3.681627988815307,3.5054311752319336
42,3.790196657180786,3.6309902667999263,3.6722991466522217,3.78645133972168,3.527477264404297,3.5036890506744385,3.57564926147461
43,3.807058811187744,3.76473331451416,3.5899810791015625,3.507038116455078,3.664912700653076,3.455247402191162,3.5216617584228516
44,3.75383186340332,3.6216483116149902,3.6124346256256104,3.5850443840026855,3.605482339859009,3.444843292236328,3.683897018432617
45,3.779052257537842,3.737231731414795,3.579469919204712,3.5139451026916504,3.521137237548828,3.5032453536987305,3.649991989135742
46,3.6844382286071777,3.650102376937866,3.67872953414917,3.6336746215820312,3.658636331558227,3.5225110054016113,3.5761525630950928
49,3.765695095062256,3.6137845516204834,3.661418914794922,3.4217987060546875,3.5422115325927734,3.543541669845581,3.403688669204712
50,3.612152099609375,3.566810607910156,3.4910683631896973,3.5650382041931152,3.6788430213928223,3.507596492767334,3.4160189628601074
51,3.591174602508545,3.6575098037719727,3.389252185821533,3.4998505115509033,3.317099094390869,3.4628140926361084,3.368422031402588
52,3.786409378051758,3.5865566730499268,3.5242671966552734,3.5336897373199463,3.665147304534912,3.5083365440368652,3.4079396724700928
53,3.7115273475646977,3.695291042327881,3.502063274383545,3.52336049079895,3.605254650115967,3.3952479362487793,3.4704833030700684
54,3.6938743591308594,3.4823222160339355,3.589984178543091,3.471930503845215,3.535301923751831,3.5545406341552734,3.360273599624634
57,3.6384239196777344,3.497589588165283,3.4428443908691406,3.3483452796936035,3.4367268085479736,3.411837577819824,3.362730026245117
58,3.6999611854553223,3.620635509490967,3.39217472076416,3.368804931640625,3.4889049530029297,3.4672281742095947,3.432767629623413
59,3.75213623046875,3.492856502532959,3.527070999145508,3.5845813751220703,3.456384658813477,3.353541374206543,3.5177056789398193
60,3.785828113555908,3.5164148807525635,3.5664379596710205,3.3446011543273926,3.5820813179016113,3.4043831825256348,3.448462963104248
61,3.6673505306243896,3.5690879821777344,3.553373336791992,3.380660057067871,3.412114143371582,3.3526206016540527,3.286257743835449
62,3.777945041656494,3.585474967956543,3.4720656871795654,3.4260668754577637,3.400038480758667,3.378207206726074,3.4009294509887695
65,3.625818252563477,3.37557601928711,3.510246753692627,3.316930770874023,3.3826000690460205,3.2284786701202393,3.365956544876098
66,3.652189254760742,3.4182777404785156,3.4147286415100098,3.544023036956787,3.3850836753845215,3.2993862628936768,3.479177713394165
67,3.639176845550537,3.620172262191773,3.541106700897217,3.341031551361084,3.645451545715332,3.354431629180908,3.3583970069885254
68,3.674080610275269,3.5465826988220215,3.455622673034668,3.485537528991699,3.467470645904541,3.320301055908203,3.289503335952759
69,3.5413551330566406,3.313685894012451,3.468865394592285,3.3109641075134277,3.43003511428833,3.295690536499023,3.307162284851074
70,3.613234519958496,3.484884262084961,3.398398160934448,3.408285140991211,3.436065912246704,3.2985453605651855,3.3517775535583496
73,3.5718140602111816,3.4765892028808594,3.4181594848632812,3.4081296920776367,3.28934907913208,3.3698363304138184,3.2936575412750244
74,3.5700507164001465,3.416637897491455,3.4165022373199463,3.257495164871216,3.4140377044677734,3.2815864086151123,3.258726119995117
75,3.613300323486328,3.449765205383301,3.44063949584961,3.316697120666504,3.355849266052246,3.2269372940063477,3.2144875526428223
76,3.534825325012207,3.412088394165039,3.3585407733917236,3.415611267089844,3.246887683868408,3.276520252227783,3.4011013507843018
77,3.49539566040039,3.400938034057617,3.4939026832580566,3.317500352859497,3.4583888053894043,3.3239431381225586,3.2471282482147217
78,3.535759449005127,3.3763070106506348,3.3474912643432617,3.140110731124878,3.324249744415283,3.1646156311035156,3.3276562690734863
81,3.571234941482544,3.476414203643799,3.3747470378875732,3.282071828842163,3.445648670196533,3.337191343307495,3.1196706295013428
82,3.654979705810547,3.34562087059021,3.344496250152588,3.179579734802246,3.23458194732666,3.221961498260498,3.274895668029785
83,3.652444839477539,3.3617334365844727,3.4547715187072754,3.158250093460083,3.272253036499023,3.2382776737213135,3.1273889541625977
84,3.645028591156006,3.3524274826049805,3.267144203186035,3.353609085083008,3.2972705364227295,3.2991456985473633,3.1952648162841797
85,3.65109920501709,3.386180877685547,3.4000139236450195,3.302008867263794,3.3289480209350586,3.2534170150756836,3.318593740463257
86,3.5170764923095703,3.4057061672210693,3.34883451461792,3.3578176498413086,3.2968101501464844,3.219381809234619,3.195556163787842
89,3.462322235107422,3.215076446533203,3.412682056427002,3.3170242309570312,3.2295947074890137,3.19014310836792,3.252067804336548
90,3.6739962100982666,3.314069986343384,3.2147727012634277,3.236152172088623,3.224827289581299,3.2007503509521484,3.168546438217163
91,3.5232858657836914,3.2522594928741455,3.3022220134735107,3.252011775970459,3.155216693878174,3.1145758628845215,3.281433582305908
92,3.588573932647705,3.2138195037841797,3.3169116973876953,3.2759363651275635,3.386234760284424,3.169123649597168,3.076425075531006
93,3.514497756958008,3.3496530055999756,3.284532070159912,3.228799819946289,3.1502060890197754,3.0965230464935303,3.1747984886169434
94,3.3968591690063477,3.379208564758301,3.326798439025879,3.25146484375,3.3816676139831543,3.3661317825317383,3.2616453170776367
95,3.5181150436401367,3.371243476867676,3.294184684753418,3.1396706104278564,3.2280993461608887,3.221107006072998,3.2517738342285156
98,3.5582480430603027,3.214423179626465,3.222584009170532,3.0441207885742188,3.185425281524658,3.1386547088623047,3.0429911613464355
99,3.4510908126831055,3.155721664428711,3.138519287109375,3.3013625144958496,2.9874114990234375,3.057400703430176,3.0897326469421387
100,3.4165961742401123,3.197232246398926,3.292628765106201,3.2283449172973633,3.3191027641296387,3.139332056045532,3.1605257987976074
101,3.578557014465332,3.329728603363037,3.1864938735961914,3.1975512504577637,3.101179361343384,3.297447919845581,3.114163398742676
102,3.5022473335266113,3.3971731662750244,3.2739572525024414,3.2454726696014404,3.283956527709961,3.2832984924316406,3.120262622833252
